prastogi@r5n07 ~/projects/eldemo/third_party/nnPUlearning Sun Jun 03 14:31:40 master
$ python train.py -g 0 --preset exp-mnist
/opt/anaconda3/lib/python3.5/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
(61000, 1, 28, 28)
training:(61000, 1, 28, 28)
test:(10000, 1, 28, 28)
prior: 0.4915333333333333
loss: sigmoid
batchsize: 30000
model: <class 'model.MultiLayerPerceptron'>
beta: 0.0
gamma: 1.0

epoch       train/nnPU/error  test/nnPU/error  train/uPU/error  test/uPU/error  elapsed_time
89          0.492204          0.0658           0.491533         0.4638          121.381
90          0.492204          0.0598           0.491533         0.4645          122.688
91          0.492204          0.0573           0.491533         0.4791          124.184
92          0.492204          0.0602           0.491533         0.4775          125.44
93          0.492204          0.0812           0.491533         0.4514          126.701
94          0.492204          0.0647           0.491533         0.4635          127.96
95          0.492204          0.0667           0.491533         0.4572          129.265
96          0.492204          0.0864           0.491533         0.4533          130.522
97          0.492204          0.0753           0.491533         0.4574          131.793
     total [#################################################.] 98.36%
this epoch [##################................................] 36.07%
       200 iter, 98 epoch / 100 epochs
    1.5765 iters/sec. Estimated time to finish: 0:00:02.114381.
98          0.492204          0.0739           0.491533         0.4684          133.063
99          0.492204          0.0736           0.491533         0.4751          134.328
100         0.492204          0.0785           0.491533         0.466           135.654
